Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Month
Keon Ellis,SG,24,SAC,28,3,12.2,1.3,3.0,0.434,0.9,2.4,0.382,0.4,0.5,0.667,0.59,0.4,0.6,0.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9,01-2024
Joel Embiid,C,29,PHI,32,32,34.3,12.1,22.4,0.539,1.2,3.2,0.363,10.9,19.2,0.568,0.565,10.8,12.2,0.887,2.7,8.8,11.6,5.9,1.2,1.9,3.6,2.9,36.1,01-2024
Drew Eubanks,C,26,PHO,38,2,15.6,2.2,3.7,0.597,0.1,0.1,1.0,2.1,3.6,0.588,0.608,1.1,1.4,0.764,1.4,2.7,4.1,0.9,0.3,0.8,1.0,1.7,5.6,01-2024
Dante Exum,PG,28,DAL,31,14,19.5,3.6,6.4,0.574,0.9,2.0,0.46,2.7,4.3,0.627,0.647,1.0,1.4,0.738,0.6,2.3,2.9,2.8,0.6,0.2,0.8,1.6,9.2,01-2024
Bruno Fernando,C,25,ATL,13,0,6.5,1.1,2.1,0.519,0.0,0.2,0.0,1.1,1.8,0.583,0.519,0.8,1.5,0.526,0.5,1.5,2.0,0.3,0.2,0.4,0.5,0.9,2.9,01-2024
Dorian Finney-Smith,PF,30,BRK,40,29,28.6,3.3,8.1,0.404,2.1,5.4,0.378,1.2,2.6,0.457,0.531,0.3,0.4,0.813,1.8,3.0,4.8,1.4,0.7,0.6,0.8,2.3,8.9,01-2024
Malachi Flynn,PG,25,TOT,38,0,13.3,1.6,3.9,0.409,0.8,2.3,0.341,0.8,1.6,0.508,0.51,0.6,0.7,0.75,0.3,1.4,1.8,2.0,0.5,0.2,0.9,1.2,4.6,01-2024
Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,0.409,0.9,2.6,0.35,0.9,1.8,0.491,0.511,0.5,0.7,0.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,01-2024
Malachi Flynn,PG,25,NYK,7,0,4.4,0.7,1.7,0.417,0.3,1.1,0.25,0.4,0.6,0.75,0.5,0.6,0.9,0.667,0.0,0.4,0.4,0.6,0.1,0.0,0.3,0.4,2.3,01-2024
Simone Fontecchio,SF,28,UTA,43,27,22.9,3.3,7.1,0.456,1.9,4.7,0.399,1.4,2.4,0.567,0.588,0.7,0.9,0.789,0.9,2.4,3.3,1.4,0.6,0.4,1.1,1.7,9.1,01-2024
Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,01-2024
Trent Forrest,SG,25,ATL,18,0,10.9,0.8,2.6,0.326,0.1,0.3,0.333,0.7,2.2,0.325,0.348,0.4,0.6,0.8,0.3,1.2,1.4,1.9,0.4,0.1,0.6,0.9,2.2,01-2024
Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,0.2,0.7,5.0,0.133,0.7,1.7,0.4,0.25,0.7,0.7,1.0,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,01-2024
De'Aaron Fox,PG,26,SAC,36,36,35.6,9.8,21.0,0.465,3.2,8.1,0.39,6.6,12.9,0.512,0.54,4.8,6.7,0.717,0.9,3.3,4.1,5.6,1.6,0.4,2.5,2.5,27.4,01-2024
Javon Freeman-Liberty,PG,24,TOR,1,0,2.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,01-2024
Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,0.167,0.0,0.5,0.0,0.3,1.0,0.25,0.167,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,01-2024
Markelle Fultz,PG,25,ORL,12,6,24.3,3.9,8.1,0.485,0.0,0.3,0.0,3.9,7.8,0.5,0.485,0.4,0.9,0.455,1.3,1.8,3.0,3.7,1.2,0.4,1.3,1.8,8.3,01-2024
Daniel Gafford,C,25,WAS,38,38,26.1,4.3,6.2,0.692,0.0,0.0,,4.3,6.2,0.692,0.692,1.9,2.6,0.727,2.6,4.9,7.5,1.6,0.9,2.1,1.1,3.4,10.5,01-2024
Danilo Gallinari,PF-SF,35,TOT,28,0,14.7,2.2,4.9,0.449,0.8,2.4,0.333,1.4,2.5,0.557,0.529,1.9,2.3,0.844,0.4,2.4,2.9,1.3,0.2,0.1,0.4,1.0,7.1,01-2024
Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,0.435,0.8,2.5,0.313,1.4,2.6,0.552,0.511,1.8,2.2,0.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,01-2024
Danilo Gallinari,SF,35,DET,2,0,13.0,2.0,2.5,0.8,1.0,1.0,1.0,1.0,1.5,0.667,1.0,3.5,4.0,0.875,0.0,2.0,2.0,2.5,0.0,0.0,0.0,1.0,8.5,01-2024
